RNA_id	type
ENST00000418388	mRNA
hsa_circ_0008924	circRNA
hsa_circ_0002245	circRNA
hsa_circ_0009022	circRNA
novel_circ_0001794	circRNA
ENST00000463285	mRNA
ENST00000471418	mRNA
novel_circ_0001791	circRNA
hsa-miR-106b-3p	miRNA
hsa_circ_0009029	circRNA
hsa-miR-7152-5p	miRNA
ENST00000345041	mRNA
hsa_circ_0001961	circRNA
ENST00000565142	mRNA
ENST00000561360	mRNA
ENST00000559087	mRNA
ENST00000649664	mRNA
ENST00000381569	mRNA
ENST00000404098	mRNA
ENST00000369864	mRNA
ENST00000315997	mRNA
hsa_circ_0079762	circRNA
TCONS_00407999	mRNA
hsa_circ_0069863	circRNA
hsa_circ_0033149	circRNA
hsa-miR-6842-3p	miRNA
ENST00000399448	mRNA
ENST00000005260	mRNA
ENST00000368026	mRNA
hsa-miR-5001-3p	miRNA
ENST00000648444	mRNA
hsa_circ_0001811	circRNA
hsa-miR-3620-5p	miRNA
ENST00000241600	mRNA
ENST00000361729	mRNA
ENST00000598810	mRNA
hsa-miR-6855-5p	miRNA
ENST00000599814	mRNA
ENST00000397394	mRNA
hsa-miR-3127-5p	miRNA
ENST00000341947	mRNA
novel_circ_0002315	circRNA
ENST00000561213	mRNA
ENST00000391932	mRNA
ENST00000305798	mRNA
ENST00000600490	mRNA
hsa-miR-3193	miRNA
hsa-miR-2115-5p	miRNA
ENST00000373069	mRNA
ENST00000398006	mRNA
hsa_circ_0030051	circRNA
ENST00000532219	mRNA
ENST00000544745	mRNA
ENST00000512733	mRNA
ENST00000422843	mRNA
hsa-miR-520a-3p	miRNA
hsa_circ_0079948	circRNA
ENST00000361474	mRNA
ENST00000622495	mRNA
hsa-miR-10395-3p	miRNA
hsa_circ_0056019	circRNA
ENST00000519264	mRNA
ENST00000619636	mRNA
ENST00000422115	mRNA
hsa_circ_0026154	circRNA
ENST00000510894	mRNA
ENST00000307641	mRNA
ENST00000564123	mRNA
novel_circ_0002026	circRNA
novel_circ_0008200	circRNA
ENST00000372339	mRNA
ENST00000375911	mRNA
ENST00000378757	mRNA
ENST00000378756	mRNA
ENST00000520755	mRNA
hsa_circ_0003730	circRNA
ENST00000595646	mRNA
hsa_circ_0051123	circRNA
hsa-miR-23b-3p	miRNA
ENST00000570618	mRNA
hsa_circ_0006109	circRNA
ENST00000409641	mRNA
hsa-miR-500a-5p	miRNA
hsa_circ_0007364	circRNA
hsa_circ_0047474	circRNA
ENST00000378373	mRNA
ENST00000378371	mRNA
ENST00000400841	mRNA
ENST00000544363	mRNA
hsa_circ_0045309	circRNA
hsa_circ_0002008	circRNA
hsa_circ_0071519	circRNA
ENST00000413302	mRNA
ENST00000250896	mRNA
novel_195	miRNA
ENST00000255432	mRNA
ENST00000316731	mRNA
hsa-miR-197-3p	miRNA
novel_circ_0006782	circRNA
ENST00000652450	mRNA
hsa-miR-7976	miRNA
ENST00000263233	mRNA
hsa_circ_0006618	circRNA
ENST00000383329	mRNA
hsa-miR-3667-3p	miRNA
ENST00000567571	mRNA
hsa_circ_0036044	circRNA
ENST00000395958	mRNA
novel_circ_0007410	circRNA
hsa_circ_0001083	circRNA
hsa_circ_0007186	circRNA
ENST00000447601	mRNA
hsa_circ_0003958	circRNA
ENST00000312655	mRNA
ENST00000273038	mRNA
hsa_circ_0000286	circRNA
ENST00000332503	mRNA
hsa_circ_0016868	circRNA
hsa-miR-3664-3p	miRNA
hsa_circ_0066147	circRNA
hsa-miR-301b-5p	miRNA
ENST00000607574	mRNA
hsa_circ_0000356	circRNA
hsa-miR-4524a-5p	miRNA
hsa_circ_0081828	circRNA
ENST00000520530	mRNA
hsa_circ_0081822	circRNA
ENST00000417626	mRNA
ENST00000650566	mRNA
hsa_circ_0001771	circRNA
novel_circ_0008024	circRNA
ENST00000401073	mRNA
ENST00000376590	mRNA
ENST00000594665	mRNA
hsa_circ_0086709	circRNA
ENST00000323081	mRNA
ENST00000394283	mRNA
hsa-miR-6805-5p	miRNA
ENST00000336505	mRNA
hsa-miR-4749-5p	miRNA
ENST00000606557	mRNA
novel_533	miRNA
hsa_circ_0001550	circRNA
hsa_circ_0001551	circRNA
hsa_circ_0004058	circRNA
ENST00000304301	mRNA
hsa_circ_0001006	circRNA
hsa-miR-874-3p	miRNA
ENST00000322734	mRNA
hsa_circ_0008143	circRNA
hsa_circ_0004187	circRNA
hsa_circ_0004183	circRNA
novel_circ_0001325	circRNA
ENST00000262013	mRNA
ENST00000535626	mRNA
hsa-miR-506-3p	miRNA
hsa-miR-6891-3p	miRNA
hsa_circ_0008381	circRNA
ENST00000221455	mRNA
ENST00000261891	mRNA
hsa-miR-509-5p	miRNA
ENST00000259234	mRNA
ENST00000341594	mRNA
ENST00000604971	mRNA
ENST00000356970	mRNA
hsa_circ_0004618	circRNA
ENST00000410089	mRNA
hsa-miR-3622b-3p	miRNA
hsa_circ_0005082	circRNA
ENST00000579002	mRNA
hsa_circ_0028319	circRNA
hsa-miR-4524a-3p	miRNA
hsa-miR-532-5p	miRNA
ENST00000593942	mRNA
ENST00000395224	mRNA
hsa_circ_0005873	circRNA
ENST00000375023	mRNA
hsa_circ_0000973	circRNA
hsa-miR-4772-5p	miRNA
ENST00000612477	mRNA
hsa_circ_0002872	circRNA
hsa-miR-212-3p	miRNA
hsa_circ_0004771	circRNA
ENST00000355790	mRNA
hsa-miR-665	miRNA
hsa-miR-518c-5p	miRNA
hsa-miR-1185-1-3p	miRNA
hsa-miR-103a-2-5p	miRNA
hsa_circ_0025506	circRNA
ENST00000341627	mRNA
hsa_circ_0005476	circRNA
ENST00000515632	mRNA
ENST00000394067	mRNA
ENST00000368432	mRNA
ENST00000357037	mRNA
ENST00000575124	mRNA
ENST00000346246	mRNA
hsa_circ_0002909	circRNA
ENST00000533603	mRNA
hsa_circ_0005589	circRNA
hsa_circ_0008040	circRNA
ENST00000356575	mRNA
ENST00000435187	mRNA
hsa-miR-6811-5p	miRNA
ENST00000585894	mRNA
ENST00000464064	mRNA
ENST00000480143	mRNA
hsa_circ_0023918	circRNA
hsa_circ_0023919	circRNA
ENST00000317635	mRNA
ENST00000380573	mRNA
hsa_circ_0045306	circRNA
ENST00000360596	mRNA
ENST00000428960	mRNA
novel_circ_0002095	circRNA
novel_circ_0009062	circRNA
ENST00000375070	mRNA
ENST00000375076	mRNA
ENST00000327555	mRNA
ENST00000372201	mRNA
ENST00000615287	mRNA
ENST00000268124	mRNA
novel_circ_0001672	circRNA
hsa-miR-6895-3p	miRNA
ENST00000371488	mRNA
ENST00000250244	mRNA
hsa-miR-658	miRNA
ENST00000372587	mRNA
hsa-miR-488-5p	miRNA
ENST00000405315	mRNA
hsa-miR-92a-1-5p	miRNA
ENST00000307921	mRNA
ENST00000645236	mRNA
hsa_circ_0006376	circRNA
hsa-miR-139-5p	miRNA
ENST00000539433	mRNA
ENST00000592854	mRNA
hsa-miR-6721-5p	miRNA
hsa_circ_0007910	circRNA
ENST00000334133	mRNA
ENST00000551171	mRNA
hsa-miR-455-3p	miRNA
hsa-miR-6720-3p	miRNA
ENST00000233202	mRNA
ENST00000371173	mRNA
hsa-miR-15b-5p	miRNA
novel_circ_0005200	circRNA
novel_circ_0002529	circRNA
hsa-miR-6511a-5p	miRNA
hsa_circ_0056248	circRNA
ENST00000319863	mRNA
hsa-miR-324-3p	miRNA
ENST00000491356	mRNA
novel_circ_0007145	circRNA
hsa_circ_0008540	circRNA
hsa-miR-326	miRNA
hsa_circ_0008815	circRNA
ENST00000297293	mRNA
ENST00000600440	mRNA
hsa_circ_0008549	circRNA
hsa-miR-492	miRNA
ENST00000368300	mRNA
ENST00000651168	mRNA
ENST00000648120	mRNA
ENST00000374182	mRNA
novel_circ_0001818	circRNA
novel_circ_0005805	circRNA
ENST00000425671	mRNA
hsa-miR-3180-5p	miRNA
ENST00000445164	mRNA
hsa_circ_0002670	circRNA
hsa-miR-6511b-5p	miRNA
ENST00000233809	mRNA
hsa-miR-422a	miRNA
ENST00000544570	mRNA
ENST00000646501	mRNA
ENST00000458143	mRNA
hsa_circ_0006578	circRNA
ENST00000545570	mRNA
hsa_circ_0069298	circRNA
hsa_circ_0008608	circRNA
ENST00000546591	mRNA
ENST00000431666	mRNA
novel_circ_0007557	circRNA
ENST00000396365	mRNA
hsa_circ_0031485	circRNA
ENST00000361311	mRNA
hsa_circ_0003435	circRNA
hsa_circ_0006977	circRNA
ENST00000495566	mRNA
ENST00000314940	mRNA
hsa_circ_0003438	circRNA
ENST00000510661	mRNA
ENST00000371752	mRNA
hsa_circ_0071405	circRNA
hsa_circ_0007353	circRNA
novel_circ_0000255	circRNA
hsa-miR-6738-3p	miRNA
hsa-miR-3194-5p	miRNA
ENST00000335473	mRNA
ENST00000350302	mRNA
ENST00000636938	mRNA
ENST00000429568	mRNA
hsa_circ_0089715	circRNA
hsa-miR-873-5p	miRNA
hsa-miR-450a-2-3p	miRNA
hsa-miR-584-3p	miRNA
ENST00000572447	mRNA
ENST00000442869	mRNA
novel_circ_0007420	circRNA
hsa_circ_0045202	circRNA
ENST00000530153	mRNA
hsa-miR-1249-5p	miRNA
ENST00000621158	mRNA
ENST00000358321	mRNA
hsa-miR-204-3p	miRNA
hsa_circ_0000701	circRNA
ENST00000401885	mRNA
hsa_circ_0000369	circRNA
hsa_circ_0007648	circRNA
ENST00000530981	mRNA
ENST00000267102	mRNA
hsa_circ_0004996	circRNA
hsa-miR-6514-3p	miRNA
ENST00000415395	mRNA
ENST00000402042	mRNA
ENST00000444836	mRNA
ENST00000620566	mRNA
hsa_circ_0000388	circRNA
ENST00000336576	mRNA
ENST00000446105	mRNA
ENST00000598162	mRNA
hsa_circ_0004516	circRNA
hsa_circ_0000014	circRNA
hsa-miR-181b-5p	miRNA
hsa_circ_0001696	circRNA
ENST00000455220	mRNA
hsa_circ_0004422	circRNA
hsa_circ_0001163	circRNA
ENST00000617564	mRNA
ENST00000409651	mRNA
ENST00000429586	mRNA
novel_circ_0009125	circRNA
hsa-miR-3529-3p	miRNA
hsa_circ_0004191	circRNA
hsa_circ_0001495	circRNA
hsa_circ_0001492	circRNA
ENST00000505473	mRNA
hsa-miR-345-5p	miRNA
novel_circ_0005140	circRNA
ENST00000442711	mRNA
hsa-miR-6854-5p	miRNA
hsa-miR-4676-3p	miRNA
ENST00000496259	mRNA
hsa-miR-216a-3p	miRNA
ENST00000399440	mRNA
ENST00000496504	mRNA
ENST00000398831	mRNA
hsa_circ_0002466	circRNA
ENST00000308027	mRNA
ENST00000342725	mRNA
hsa-miR-34c-5p	miRNA
ENST00000337975	mRNA
ENST00000354947	mRNA
hsa_circ_0005806	circRNA
hsa_circ_0000944	circRNA
hsa_circ_0000943	circRNA
ENST00000626689	mRNA
hsa_circ_0002860	circRNA
ENST00000368519	mRNA
ENST00000535274	mRNA
ENST00000490273	mRNA
hsa-miR-145-3p	miRNA
hsa_circ_0091669	circRNA
hsa-miR-1292-5p	miRNA
ENST00000550825	mRNA
novel_circ_0002796	circRNA
hsa-let-7i-5p	miRNA
ENST00000601010	mRNA
hsa_circ_0005247	circRNA
hsa-miR-1234-3p	miRNA
hsa-miR-106b-5p	miRNA
ENST00000394275	mRNA
ENST00000533058	mRNA
ENST00000394272	mRNA
hsa-miR-3913-5p	miRNA
ENST00000481551	mRNA
novel_circ_0009783	circRNA
hsa-miR-125a-3p	miRNA
hsa_circ_0011653	circRNA
hsa-miR-4731-5p	miRNA
ENST00000432519	mRNA
ENST00000459968	mRNA
hsa_circ_0002041	circRNA
ENST00000541669	mRNA
ENST00000264690	mRNA
hsa-miR-942-5p	miRNA
novel_circ_0002089	circRNA
hsa-miR-548an	miRNA
ENST00000309777	mRNA
ENST00000357155	mRNA
hsa-miR-3202	miRNA
ENST00000610347	mRNA
ENST00000537114	mRNA
ENST00000462730	mRNA
ENST00000611299	mRNA
ENST00000301012	mRNA
ENST00000301011	mRNA
ENST00000542735	mRNA
TCONS_00134789	mRNA
ENST00000301015	mRNA
ENST00000434576	mRNA
hsa-miR-4662a-5p	miRNA
ENST00000380325	mRNA
ENST00000293760	mRNA
ENST00000284274	mRNA
hsa-miR-624-5p	miRNA
ENST00000381431	mRNA
hsa_circ_0083229	circRNA
hsa-miR-552-3p	miRNA
ENST00000369797	mRNA
ENST00000574265	mRNA
hsa-miR-6501-3p	miRNA
ENST00000336963	mRNA
hsa-miR-3150a-3p	miRNA
ENST00000536884	mRNA
hsa_circ_0067103	circRNA
hsa_circ_0075796	circRNA
hsa-miR-320e	miRNA
hsa-miR-320c	miRNA
hsa-miR-320b	miRNA
ENST00000290902	mRNA
ENST00000236040	mRNA
novel_circ_0003686	circRNA
ENST00000361673	mRNA
ENST00000621632	mRNA
hsa-miR-4425	miRNA
ENST00000494774	mRNA
hsa_circ_0007501	circRNA
hsa-miR-3173-5p	miRNA
ENST00000622306	mRNA
ENST00000287652	mRNA
hsa_circ_0008559	circRNA
ENST00000413988	mRNA
novel_circ_0008828	circRNA
hsa-miR-6876-5p	miRNA
novel_circ_0001861	circRNA
ENST00000260599	mRNA
ENST00000442898	mRNA
hsa-miR-1343-3p	miRNA
ENST00000320256	mRNA
novel_circ_0003752	circRNA
hsa_circ_0006544	circRNA
ENST00000600059	mRNA
ENST00000617285	mRNA
hsa_circ_0006294	circRNA
ENST00000330634	mRNA
hsa_circ_0006291	circRNA
ENST00000261622	mRNA
hsa-miR-4742-3p	miRNA
ENST00000319928	mRNA
novel_circ_0006544	circRNA
hsa_circ_0003164	circRNA
TCONS_00401924	mRNA
ENST00000359086	mRNA
hsa_circ_0043379	circRNA
hsa-miR-301a-3p	miRNA
ENST00000397203	mRNA
ENST00000396355	mRNA
ENST00000578046	mRNA
hsa_circ_0003716	circRNA
ENST00000379595	mRNA
ENST00000327726	mRNA
hsa-miR-411-5p	miRNA
ENST00000611515	mRNA
ENST00000610822	mRNA
hsa_circ_0036598	circRNA
ENST00000583448	mRNA
hsa_circ_0075881	circRNA
ENST00000621946	mRNA
hsa_circ_0084678	circRNA
ENST00000621943	mRNA
ENST00000356198	mRNA
hsa_circ_0003391	circRNA
hsa_circ_0007342	circRNA
hsa_circ_0008704	circRNA
ENST00000511507	mRNA
ENST00000272233	mRNA
hsa_circ_0031584	circRNA
ENST00000395739	mRNA
hsa-miR-431-5p	miRNA
hsa_circ_0063328	circRNA
ENST00000358131	mRNA
novel_circ_0002006	circRNA
hsa_circ_0000175	circRNA
novel_circ_0008793	circRNA
ENST00000448038	mRNA
ENST00000378670	mRNA
hsa_circ_0006630	circRNA
ENST00000416649	mRNA
hsa_circ_0077837	circRNA
ENST00000543785	mRNA
hsa_circ_0007234	circRNA
ENST00000314845	mRNA
hsa-miR-4776-3p	miRNA
ENST00000589256	mRNA
ENST00000526406	mRNA
novel_circ_0007948	circRNA
ENST00000374443	mRNA
hsa-miR-1245b-3p	miRNA
hsa_circ_0012964	circRNA
ENST00000591814	mRNA
novel_circ_0004027	circRNA
ENST00000476491	mRNA
ENST00000394510	mRNA
ENST00000591813	mRNA
ENST00000402693	mRNA
hsa_circ_0007907	circRNA
ENST00000389983	mRNA
ENST00000502297	mRNA
ENST00000250454	mRNA
hsa_circ_0077659	circRNA
ENST00000558937	mRNA
ENST00000358358	mRNA
hsa_circ_0000711	circRNA
ENST00000258098	mRNA
hsa_circ_0000378	circRNA
ENST00000376372	mRNA
ENST00000434178	mRNA
hsa-miR-183-5p	miRNA
ENST00000524037	mRNA
hsa-miR-548e-3p	miRNA
novel_338	miRNA
ENST00000392903	mRNA
hsa_circ_0000392	circRNA
ENST00000553277	mRNA
ENST00000446157	mRNA
ENST00000409085	mRNA
ENST00000428225	mRNA
ENST00000272164	mRNA
hsa-miR-877-3p	miRNA
hsa_circ_0001535	circRNA
hsa_circ_0008129	circRNA
hsa_circ_0005904	circRNA
hsa-miR-1843	miRNA
ENST00000417535	mRNA
hsa_circ_0005102	circRNA
ENST00000262547	mRNA
hsa_circ_0070590	circRNA
hsa-miR-92a-3p	miRNA
ENST00000254166	mRNA
hsa-miR-182-5p	miRNA
hsa-miR-4433a-5p	miRNA
hsa-miR-511-5p	miRNA
hsa_circ_0035228	circRNA
ENST00000376020	mRNA
hsa_circ_0004670	circRNA
ENST00000506568	mRNA
hsa_circ_0003764	circRNA
novel_circ_0006143	circRNA
ENST00000424714	mRNA
hsa-miR-892b	miRNA
hsa_circ_0008230	circRNA
hsa_circ_0005073	circRNA
ENST00000220659	mRNA
hsa_circ_0008234	circRNA
hsa-miR-92b-3p	miRNA
ENST00000435224	mRNA
hsa_circ_0052941	circRNA
hsa-miR-212-5p	miRNA
ENST00000433861	mRNA
ENST00000642412	mRNA
hsa_circ_0038724	circRNA
ENST00000344692	mRNA
hsa-miR-5003-5p	miRNA
ENST00000521686	mRNA
ENST00000389562	mRNA
ENST00000586569	mRNA
hsa-miR-654-5p	miRNA
hsa_circ_0039052	circRNA
hsa-miR-24-3p	miRNA
hsa_circ_0052835	circRNA
ENST00000446377	mRNA
hsa_circ_0084727	circRNA
hsa_circ_0002922	circRNA
hsa-miR-15a-5p	miRNA
ENST00000403766	mRNA
novel_circ_0000205	circRNA
ENST00000367033	mRNA
TCONS_00182786	mRNA
ENST00000274695	mRNA
ENST00000567835	mRNA
hsa-miR-4999-5p	miRNA
ENST00000644251	mRNA
hsa_circ_0007918	circRNA
ENST00000327575	mRNA
ENST00000327574	mRNA
ENST00000235090	mRNA
ENST00000444623	mRNA
hsa-miR-548aw	miRNA
novel_circ_0005192	circRNA
ENST00000651531	mRNA
hsa-miR-4757-5p	miRNA
novel_circ_0006167	circRNA
hsa-miR-4659b-5p	miRNA
ENST00000527697	mRNA
ENST00000512292	mRNA
hsa_circ_0004366	circRNA
ENST00000342112	mRNA
novel_circ_0002439	circRNA
novel_circ_0003926	circRNA
ENST00000284202	mRNA
ENST00000538833	mRNA
hsa-miR-4717-3p	miRNA
ENST00000644078	mRNA
ENST00000619757	mRNA
hsa-miR-5699-3p	miRNA
ENST00000317091	mRNA
ENST00000648326	mRNA
ENST00000361246	mRNA
hsa-miR-4741	miRNA
hsa_circ_0037858	circRNA
hsa-miR-6820-5p	miRNA
novel_circ_0005227	circRNA
ENST00000302955	mRNA
ENST00000561166	mRNA
TCONS_00407818	mRNA
ENST00000389749	mRNA
ENST00000556977	mRNA
hsa-miR-4434	miRNA
ENST00000155840	mRNA
novel_circ_0006437	circRNA
hsa-miR-4684-3p	miRNA
novel_circ_0001390	circRNA
hsa-miR-346	miRNA
ENST00000289175	mRNA
ENST00000354332	mRNA
hsa-miR-3064-3p	miRNA
ENST00000393081	mRNA
ENST00000584067	mRNA
hsa_circ_0075740	circRNA
ENST00000437495	mRNA
hsa_circ_0056280	circRNA
hsa-miR-1226-3p	miRNA
ENST00000571684	mRNA
ENST00000485118	mRNA
ENST00000450795	mRNA
ENST00000357582	mRNA
hsa_circ_0006289	circRNA
ENST00000409808	mRNA
ENST00000433670	mRNA
ENST00000532559	mRNA
ENST00000233557	mRNA
ENST00000569477	mRNA
hsa_circ_0091513	circRNA
hsa-miR-4797-3p	miRNA
novel_circ_0000276	circRNA
ENST00000393261	mRNA
ENST00000456412	mRNA
ENST00000422491	mRNA
hsa-miR-6837-5p	miRNA
ENST00000595615	mRNA
ENST00000370641	mRNA
ENST00000545735	mRNA
ENST00000397113	mRNA
ENST00000402997	mRNA
hsa_circ_0003388	circRNA
hsa-miR-4649-3p	miRNA
ENST00000398344	mRNA
hsa_circ_0007404	circRNA
ENST00000298564	mRNA
hsa_circ_0006138	circRNA
ENST00000279281	mRNA
ENST00000409418	mRNA
hsa-miR-211-5p	miRNA
ENST00000355815	mRNA
ENST00000406697	mRNA
ENST00000563392	mRNA
hsa_circ_0002873	circRNA
hsa-miR-10396b-3p	miRNA
ENST00000396124	mRNA
ENST00000360876	mRNA
ENST00000440023	mRNA
hsa-miR-6503-3p	miRNA
ENST00000330263	mRNA
ENST00000325192	mRNA
hsa_circ_0007765	circRNA
ENST00000320934	mRNA
ENST00000402192	mRNA
ENST00000334205	mRNA
ENST00000329397	mRNA
ENST00000333538	mRNA
ENST00000382512	mRNA
hsa_circ_0007710	circRNA
novel_circ_0007932	circRNA
hsa_circ_0007717	circRNA
hsa-miR-101-5p	miRNA
novel_circ_0002976	circRNA
ENST00000406768	mRNA
hsa_circ_0007249	circRNA
ENST00000374142	mRNA
hsa_circ_0000545	circRNA
hsa_circ_0000530	circRNA
hsa-miR-378f	miRNA
hsa-miR-378g	miRNA
hsa-miR-378d	miRNA
hsa_circ_0003961	circRNA
hsa-miR-378i	miRNA
ENST00000319394	mRNA
ENST00000219271	mRNA
ENST00000338784	mRNA
ENST00000329627	mRNA
hsa-miR-744-3p	miRNA
hsa-miR-1270	miRNA
hsa_circ_0089255	circRNA
hsa-miR-214-3p	miRNA
ENST00000263370	mRNA
ENST00000595125	mRNA
hsa-miR-4645-3p	miRNA
hsa-miR-4755-5p	miRNA
hsa_circ_0061279	circRNA
ENST00000289805	mRNA
hsa_circ_0027702	circRNA
hsa-miR-125b-5p	miRNA
ENST00000596638	mRNA
ENST00000635110	mRNA
hsa_circ_0020122	circRNA
ENST00000258534	mRNA
hsa_circ_0001522	circRNA
hsa_circ_0000724	circRNA
hsa_circ_0004440	circRNA
ENST00000401624	mRNA
hsa_circ_0001630	circRNA
hsa-miR-181c-5p	miRNA
hsa_circ_0030883	circRNA
ENST00000400915	mRNA
ENST00000395878	mRNA
novel_circ_0008105	circRNA
ENST00000266058	mRNA
novel_circ_0004167	circRNA
hsa_circ_0088025	circRNA
ENST00000324489	mRNA
novel_circ_0001194	circRNA
ENST00000265641	mRNA
novel_circ_0009477	circRNA
hsa-miR-625-5p	miRNA
hsa_circ_0007917	circRNA
ENST00000502263	mRNA
hsa_circ_0035214	circRNA
hsa-miR-1285-3p	miRNA
hsa-miR-6772-3p	miRNA
hsa_circ_0001459	circRNA
ENST00000578328	mRNA
ENST00000589918	mRNA
hsa_circ_0028279	circRNA
ENST00000375436	mRNA
hsa-miR-4700-5p	miRNA
ENST00000618838	mRNA
hsa_circ_0018025	circRNA
TCONS_00368695	mRNA
hsa_circ_0045006	circRNA
ENST00000568294	mRNA
ENST00000256594	mRNA
hsa_circ_0002842	circRNA
ENST00000292035	mRNA
ENST00000360476	mRNA
hsa_circ_0025640	circRNA
ENST00000429120	mRNA
hsa-miR-6501-5p	miRNA
hsa_circ_0005620	circRNA
hsa_circ_0072780	circRNA
ENST00000379460	mRNA
ENST00000615871	mRNA
ENST00000521452	mRNA
ENST00000278949	mRNA
hsa_circ_0006453	circRNA
hsa-miR-6777-5p	miRNA
ENST00000644867	mRNA
ENST00000415826	mRNA
hsa-miR-338-5p	miRNA
hsa_circ_0073901	circRNA
hsa-miR-769-5p	miRNA
ENST00000356501	mRNA
ENST00000614058	mRNA
hsa-miR-629-3p	miRNA
hsa_circ_0084318	circRNA
ENST00000380921	mRNA
ENST00000614054	mRNA
hsa-miR-6500-3p	miRNA
ENST00000642044	mRNA
hsa-miR-6779-3p	miRNA
hsa_circ_0001290	circRNA
hsa-miR-653-3p	miRNA
hsa_circ_0059074	circRNA
ENST00000400007	mRNA
ENST00000580434	mRNA
ENST00000375048	mRNA
ENST00000575201	mRNA
ENST00000533419	mRNA
ENST00000265293	mRNA
hsa-miR-6515-3p	miRNA
ENST00000462990	mRNA
ENST00000586078	mRNA
ENST00000306534	mRNA
ENST00000397682	mRNA
ENST00000302036	mRNA
ENST00000556897	mRNA
ENST00000296440	mRNA
ENST00000297534	mRNA
hsa-miR-202-5p	miRNA
ENST00000335367	mRNA
ENST00000335494	mRNA
ENST00000361786	mRNA
novel_circ_0000488	circRNA
novel_circ_0000486	circRNA
ENST00000561096	mRNA
ENST00000419333	mRNA
ENST00000630865	mRNA
hsa-miR-3184-3p	miRNA
hsa-miR-6735-5p	miRNA
novel_circ_0005230	circRNA
hsa_circ_0072162	circRNA
ENST00000367175	mRNA
ENST00000306406	mRNA
ENST00000275732	mRNA
novel_circ_0006527	circRNA
ENST00000438661	mRNA
ENST00000307750	mRNA
ENST00000306336	mRNA
hsa-miR-572	miRNA
ENST00000290079	mRNA
ENST00000381638	mRNA
ENST00000320230	mRNA
ENST00000555048	mRNA
ENST00000464873	mRNA
hsa-miR-130a-3p	miRNA
ENST00000538966	mRNA
ENST00000085219	mRNA
hsa-miR-5187-5p	miRNA
ENST00000261609	mRNA
ENST00000267868	mRNA
ENST00000418038	mRNA
ENST00000415005	mRNA
ENST00000412052	mRNA
ENST00000368240	mRNA
ENST00000488892	mRNA
ENST00000177742	mRNA
ENST00000354216	mRNA
hsa-miR-3130-5p	miRNA
ENST00000358208	mRNA
ENST00000437172	mRNA
hsa-miR-483-3p	miRNA
ENST00000577454	mRNA
hsa_circ_0006382	circRNA
ENST00000157812	mRNA
hsa_circ_0003176	circRNA
ENST00000260643	mRNA
hsa_circ_0007494	circRNA
TCONS_00401098	mRNA
hsa_circ_0003170	circRNA
ENST00000374399	mRNA
ENST00000611883	mRNA
novel_circ_0004341	circRNA
ENST00000589123	mRNA
ENST00000438535	mRNA
ENST00000378888	mRNA
ENST00000613953	mRNA
hsa_circ_0003357	circRNA
ENST00000549700	mRNA
ENST00000573034	mRNA
hsa_circ_0089721	circRNA
ENST00000555347	mRNA
ENST00000585683	mRNA
ENST00000330271	mRNA
ENST00000626538	mRNA
hsa_circ_0074371	circRNA
ENST00000612338	mRNA
ENST00000536578	mRNA
ENST00000392580	mRNA
hsa_circ_0006371	circRNA
ENST00000430656	mRNA
hsa_circ_0047721	circRNA
ENST00000514139	mRNA
hsa-miR-361-3p	miRNA
hsa-miR-185-3p	miRNA
ENST00000549832	mRNA
ENST00000378430	mRNA
hsa_circ_0004874	circRNA
ENST00000392613	mRNA
hsa_circ_0003288	circRNA
ENST00000448299	mRNA
ENST00000251473	mRNA
hsa_circ_0062802	circRNA
ENST00000234396	mRNA
hsa_circ_0003910	circRNA
ENST00000298694	mRNA
ENST00000272367	mRNA
ENST00000370871	mRNA
ENST00000431431	mRNA
ENST00000398610	mRNA
ENST00000518137	mRNA
ENST00000648947	mRNA
ENST00000333651	mRNA
hsa_circ_0000155	circRNA
ENST00000426726	mRNA
ENST00000625755	mRNA
hsa_circ_0003592	circRNA
ENST00000397821	mRNA
ENST00000337147	mRNA
ENST00000350763	mRNA
ENST00000444191	mRNA
ENST00000370077	mRNA
hsa_circ_0007873	circRNA
ENST00000591909	mRNA
hsa_circ_0003823	circRNA
hsa_circ_0007877	circRNA
ENST00000314606	mRNA
hsa-miR-4488	miRNA
ENST00000312106	mRNA
hsa-miR-6796-3p	miRNA
hsa-miR-1185-2-3p	miRNA
hsa-miR-877-5p	miRNA
hsa_circ_0004015	circRNA
hsa_circ_0000025	circRNA
hsa-miR-31-5p	miRNA
ENST00000400904	mRNA
ENST00000378863	mRNA
ENST00000336308	mRNA
hsa_circ_0008104	circRNA
novel_circ_0008119	circRNA
ENST00000002596	mRNA
ENST00000521512	mRNA
ENST00000383729	mRNA
hsa-miR-320a-3p	miRNA
hsa_circ_0004650	circRNA
hsa_circ_0008719	circRNA
hsa_circ_0004127	circRNA
ENST00000373672	mRNA
ENST00000543915	mRNA
ENST00000424778	mRNA
ENST00000411939	mRNA
ENST00000394319	mRNA
hsa_circ_0005704	circRNA
ENST00000215570	mRNA
ENST00000556143	mRNA
hsa-miR-200a-3p	miRNA
ENST00000435205	mRNA
hsa_circ_0005386	circRNA
ENST00000287218	mRNA
ENST00000433686	mRNA
TCONS_00356390	mRNA
ENST00000263121	mRNA
ENST00000652347	mRNA
hsa_circ_0005388	circRNA
hsa_circ_0027810	circRNA
ENST00000252999	mRNA
hsa_circ_0001993	circRNA
ENST00000248933	mRNA
hsa_circ_0005630	circRNA
ENST00000555822	mRNA
